participant,original_text,text,label,label_number,type
1,Hi,hi,greetings,14,Query
2,Hello,hello,greetings,14,Response
1,Data course duration,datum course duration,project_information,1,Query
1,Data secience course duration,datum secience course duration,project_information,1,Query
1,Govt department as a programmer,govt department programmer,client_info,6,Response
2,ours is a project based learning platform,project base learn platform,project_information,1,Response
2,are you currently doing any course in data science,currently course datum science,client_info,6,Query
1,No I'm looking data secience course with 200 project,look datum secience course project,project_want,8,Response
1,On data secience,datum secience,project_want,8,Response
1,In course session,course session,project_information,1,Response
2,12 months is the subscription,month subscription,project_information,1,Response
2,can i arrange a call to discuss it further,arrange call discuss far,trial_demo_discussion,3,Query
1,Yes,yes,agree,4,Response
2,what is the conveninet time for a call,conveninet time call,trial_demo_discussion,3,Query
1,Evening time 7 o clock,evening time clock,trial_demo_discussion,3,Response
2,sure,sure,agree,4,Response
2,contact number please,contact number please,provide_contact,12,Query
2,thank you,thank,agree,4,Response
2,It will be a google meet call,google meet call,trial_demo_discussion,3,Response
2,you will receive an invitation for the same,receive invitation,trial_demo_discussion,3,Response
1,Anjali name nice name,anjali name nice name,other,11,Response
2,i dont provide my contact details . I dont call clients,provide contact detail call client,provide_contact,12,Response
1,Will I be charged 1080 for the purchase of 90 month monthly?,charge purchase month monthly,cost_discussion,2,Query
1,Hi!!,hi,greetings,14,Query
2,we do not have any monthly plans,monthly plan,cost_discussion,2,Response
1,"Ok, and how much it take for refund?",ok much take refund,refund_info,9,Query
2,entire amount that you have paid,entire amount pay,refund_info,9,Response
2,"If you enroll now , we have discounts for you",enroll discount,discount,5,Response
1,"Ok, but how long does it take to get the refund?",ok long take get refund,refund_info,9,Query
1,what are the discounts?,discount,discount,5,Query
2,ok thanls,ok thanls,agree,4,Response
2,"If you enroll now , we can provide you the annual plan at $ 619",enroll provide annual plan,cost_discussion,2,Response
1,"Ok, where do I have to pay?",ok pay,cost_discussion,2,Query
2,let me send you the link,let send link,cost_discussion,2,Response
1,oki,oki,agree,4,Response
2,Please use the above link to complete the enrollment,please use link complete enrollment,enrollment,7,Response
2,It is valid for an hour,valid hour,enrollment,7,Response
1,"Oki, so it has the same benefits for the normal annual subscription of 1080 right?",oki benefit normal annual subscription right,cost_discussion,2,Query
2,Yes it does,yes,cost_discussion,2,Response
1,ok perfect thanks! I will get it now,ok perfect thank get,agree,4,Response
2,ok sure,ok sure,agree,4,Response
1,"Hi, I need to wait for 20 min to use my credit card, do I have enough time left right?",hi need wait min use credit card enough time leave right,enrollment,7,Query
2,ok,ok,agree,4,Response
2,you have 1 hour,hour,enrollment,7,Response
1,thanks,thank,agree,4,Response
2,hello,hello,greetings,14,Query
1,hows your plans and pricing,plan pricing,cost_discussion,2,Query
1,"Im a CS student, im looking for a projecr.",cs student look projecr,project_want,8,Response
1,project,project,project_want,8,Response
1,"I would like to know about your subscriptions, because one project found useful for me.",would like know subscription one project find useful,project_information,1,Query
2,please provide your student email to avail the student discounted price,please provide student email avail student discount price,discount,5,Query
2,and we have  dicscounted price for students,dicscounte price student,discount,5,Response
1,"Ok, but I need one project only from your website, can I buy one only ?",ok need one project website buy one,project_want,8,Query
2,we dont have that option,option,project_information,1,Response
1,"can you speak with your senior team, Im a student and dont have enough money to buy your whole year subscription pls?",speak senior team student enough money buy whole year subscription pls,cost_discussion,2,Query
2,so no point in talking to anybody,point talk anybody,cost_discussion,2,Response
1,how much in INR ?,much inr,cost_discussion,2,Query
2,please provide your college email id,please provide college email,cost_discussion,2,Query
2,to avail the student discounted price,avail student discount price,discount,5,Query
2,12 months in INR is 72000/-,month inr,cost_discussion,2,Response
1,any discount for indian students?,discount indian student,discount,5,Query
2,48000/- is student discounted price for indian students.,student discount price indian student,discount,5,Response
1,or can you give me one month subscription ?,give one month subscription,cost_discussion,2,Query
1,pleaseeee..,pleaseeee,cost_discussion,2,Query
2,we dont ahve one month subscription,ahve one month subscription,cost_discussion,2,Response
1,do you have 6 months ?,month,cost_discussion,2,Query
2,yes,yes,agree,4,Response
2,no disocunts,disocunt,discount,5,Response
1,studnet disc ?,studnet disc,discount,5,Query
1,how much /,much,discount,5,Query
1,could you please make it to 40k ? any emi ?,could please make ok emi,cost_discussion,2,Query
2,do you have an indian credit card,indian credit card,cost_discussion,2,Query
2,Indian,indian,cost_discussion,2,Response
1,Im from kerala,kerala,client_info,6,Response
2,Good to know,good know,other,11,Response
2,i can provide you 12 no cost EMI,provide cost emi,cost_discussion,2,Response
1,40k ?,ok,cost_discussion,2,Query
2,if you enroll now,enroll,enrollment,7,Response
2,i can provide you,provide,cost_discussion,2,Response
1,can you send a quote to my email ?,send quote email,cost_discussion,2,Query
1,I'll come back within a hour,ill come back within hour,will_get_back,15,Response
2,your service will be activated on your college email,service activate college email,enrollment,7,Response
2,90 days refund policy not applicable,day refund policy applicable,refund_info,9,Response
1,"ok, thats fine",ok fine,agree,4,Response
2,Raji will drop an email to you with the details,raji drop email detail,project_information,1,Response
1,thanks dear,thank dear,agree,4,Response
1,I'm paying 40k only for one project Anjali,pay ok one project anjali,project_information,1,Query
2,you can use multiple projects to build your portfolio,use multiple project build portfolio,project_information,1,Response
2,to get a good hands on experience,get good hand experience,project_information,1,Response
2,use the unlimited  expert sessions to clarify your queries,use unlimited expert session clarify query,project_information,1,Response
2,please provide your contact number,please provide contact number,provide_contact,12,Query
1,can you please forward that quote to  ?,please forward quote,project_information,1,Query
2,will ask,ask,project_information,1,Response
2,they have shared,share,project_information,1,Response
2,confirm so that we can send the payment link,confirm send payment link,project_information,1,Query
1,can i get real agent?,get real agent,project_information,1,Query
1,hi,hi,greetings,14,Response
1,no i just want to know from where in the website you can help me .,want know website help,project_information,1,Query
