,participant,original_text,text,label
0,2," Hi, please let me know how I can help you today.",hi please let I know how can help you today,let_today
1,2, View a list of 230+ end-to-end Machine Learning & Big Data projects here - https://www.projectpro.io/projects,view list of end to end machine learn big datum project here,learn_machine_end_view
2,2, Solution code + videos + tech support + mock interviews + resume prep + 90 day refund guarantee.,solution code video tech support mock interview resume prep day refund guarantee,resume_guarantee_solution_code
3,1, Hi,hi,hi_day
4,2, Hello,hello,hello
5,1, Data course duration,datum course duration,like_project_month
6,1, Data secience course duration,data secience course duration,like_project_month
7,2, What do you do currently - what kind of technologies do you work on?,what do you do currently what kind of technology do you work on,use_kind_technology_project
8,1, Govt department as a programmer,govt department as programmer,like_project_month
9,2, ours is a project based learning platform,ours be project base learn platform,walk_insight_platform_project
10,2, are you currently doing any course in data science,be you currently do any course in data science,look_project_data_science
11,1, No I'm looking data secience course with 200 project,no look datum secience course with project,want_project_level
12,1, On data secience,on data secience,look_project_data_science
13,1, In course session,in course session,session_session_gmeet
14,2, 12 months is the subscription,month be the subscription,pay_subscription_month
15,2, can i arrange a call to discuss it further,can arrange call to discuss it far,arrange_conversation_level_team
16,1, Yes,yes,yes
17,2, May I have your name and email please?,may have your name and email please,_email
18,2, what is the conveninet time for a call,what be the conveninet time for call,like_project_month
19,1, Evening time 7 o clock,evening time clock,time_time_tomorrow_pm
20,2, sure,sure,sure_lot_sushma_welcome
21,2, contact number please,contact number please,provide_number_contact
22,2, thank you,thank you,thank_dear_pdf
23,2, It will be a google meet call,it will be google meet call,like_project_month
24,2, you will receive an invitation for the same,you will receive an invitation for the same,send_invite_team_calendar
25,1, Anjali name nice name,anjali name nice name,anjali_vishnani_amarendar_fazila
27,1, You whats no,you what no,nope_affiliate_universit
28,1, What's up no,what up no,hi_day
29,2, i dont provide my contact details . I dont call clients,do not provide my contact detail do not call client,provide_number_contact
33,1, Will I be charged 1080 for the purchase of 90 month monthly?,will be charge for the purchase of month monthly,pay_subscription_month
34,1, Hi!!,hi,hi_day
37,2, Personal Annual plan : $ 1080,personal annual plan,plan_plan_year
38,2, we do not have any monthly plans,we do not have any monthly plan,provide_plan_month_payment
39,1," Ok, and how much it take for refund?",ok and how much it take for refund,refund_refund_day
40,1, In case I dont like it,in case do not like it,want_knwthank_case_account
41,2, entire amount that you have paid,entire amount that you have pay,pay_link_payment_time
42,2," If you enroll now , we have discounts for you",if you enroll now we have discount for you,help_discount_price
43,1," Ok, but how long does it take to get the refund?",ok but how long do it take to get the refund,refund_refund_day
44,1, what are the discounts?,what be the discount,help_discount_price
46,2, may i have your email address,may have your email address,click_address_email_password
47,2, ok thanls,ok thanl,ok_ya
48,2," If you enroll now , we can provide you the annual plan at $ 619",if you enroll now we can provide you the annual plan at,like_project_month
49,1," Ok, where do I have to pay?",ok where do have to pay,look_price_fee
50,2, let me send you the link,let I send you the link,send_email_team
51,1, oki,oki,ok_ya
52,2, Please use the above link to complete the enrollment,please use the above link to complete the enrollment,like_project_month
53,2, It is valid for an hour,it be valid for an hour,help_discount_price
54,1," Oki, so it has the same benefits for the normal annual subscription of 1080 right?",oki so it have the same benefit for the normal annual subscription of right,pay_subscription_month
55,2, Yes it does,yes it do,yeah_inivte_day_term
56,1, ok perfect thanks! I will get it now,ok perfect thank will get it now,thank_anjali_help_time
57,2, ok sure,ok sure,sure
58,1," Hi, I need to wait for 20 min to use my credit card, do I have enough time left right?",hi need to wait for min to use my credit card do have enough time leave right,use_card_credit
59,2, ok,ok,ok_ya
60,2, you have 1 hour,you have hour,like_project_month
61,1, thanks,thank,thank_thank_ohkk
62,2, your welcome,your welcome,welcome
67,2, hello,hello,hello
68,1, hows your plans and pricing,how your plan and pricing,look_price_fee
70,1," Im a CS student, im looking for a projecr.",cs student look for projecr,like_project_month
71,1, project,project,like_project_month
